Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr,ssim,vmaf,
55,1.000001,1.000004,1.000000,1.000001,1.000001,0.070340,4.963800,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.525637,
56,1.000001,1.000004,1.000000,1.000001,1.000000,0.070340,0.070340,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.525620,
57,1.000001,1.000004,1.000000,1.000001,1.000001,5.341091,5.910000,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
58,1.000001,1.000004,1.000000,1.000001,1.000000,0.031874,5.341091,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.472061,
59,1.000001,1.000004,1.000000,1.000001,1.000001,0.031874,0.031874,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.472084,
60,1.000001,1.000004,1.000000,1.000001,1.000001,0.044422,5.641691,0.999994,0.999996,0.999995,0.999995,60.000000,1.000000,97.489558,
61,1.000001,1.000004,1.000000,1.000001,1.000001,0.044422,0.044422,0.999994,0.999996,0.999995,0.999995,60.000000,1.000000,97.489579,
62,1.000001,1.000004,1.000000,1.000001,1.000000,4.850570,5.218705,0.999994,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
63,1.000001,1.000004,1.000000,1.000001,1.000001,0.018553,4.850570,0.999994,0.999995,0.999995,0.999995,60.000000,1.000000,97.453470,
64,1.000001,1.000004,1.000000,1.000001,1.000001,0.018553,0.018553,0.999994,0.999995,0.999995,0.999995,60.000000,1.000000,97.453478,
65,1.000001,1.000005,1.000000,1.000001,1.000001,3.360115,3.999749,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
66,1.000001,1.000006,1.000000,1.000001,1.000001,0.091455,3.360115,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.555110,
